rep,metric,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s
1,IPC,1924,0.4199673394959984,0.05307591775153133,0.1263810605253913,0.375304483953673,1.9783992231284326,0.3871431691604022,0.3885491134750519,0.39775555587059314,0.4165480538799175,0.42988570072378307,0.4647691744557826,0.5088123486588598,0.5564683284736351,-3.229234623145521e-05,0.0429165224342755,0.02212452302247125
1,L1_miss_rate,1924,0.027597781108425062,0.0019909389605693756,0.07214126935594764,0.009896716940837227,0.031158402268969976,0.023544911768713345,0.02416481569590418,0.026344840583222083,0.027696525675376282,0.02910613661885076,0.03055521959804818,0.030834191478890934,0.486998100174017,-2.6307590722178662e-06,0.05769572259228181,0.045959958935389525
1,L2_miss_rate,1924,0.7021351171741085,0.03047602402825375,0.0434047853223906,0.18330978509392226,0.7340931528964038,0.6268685437963603,0.6472903252595579,0.6911971360553176,0.7115800734285818,0.7215806211599958,0.7284997179861573,0.731754965492149,0.8848652988086486,4.1800182759104955e-05,0.03307627687926216,0.019958171348590546
1,MemBound_frac,1924,0.5971457134842547,0.021983660262560968,0.036814565969651936,0.11516646361211921,0.6532445121227695,0.547134621821608,0.5735865860081466,0.585630340770384,0.599277236724317,0.610098655901914,0.6201345951013452,0.6215713700625203,0.04572629151980453,6.0605758402614304e-06,0.011991238861976469,0.004649040697262248
1,StallL1D_per_cyc,1924,0.7724330503298867,0.023036730236925228,0.029823594714243284,0.15297293151823266,0.7844751895786277,0.7327952063038317,0.7559573476381324,0.7723361851178442,0.7756927679961869,0.7778609965625431,0.7803568820148917,0.7812683527204995,0.920023358908984,1.0875603888707681e-05,0.008943783223408984,0.0032779824372799696
1,StallL2_per_cyc,1924,0.7665911857253475,0.023570356928593036,0.030746970963787954,0.1341740239311234,0.7815509057375588,0.7243866585654055,0.748914297486538,0.7667037762259249,0.770032319230186,0.7722497101917244,0.7747204069187307,0.7755787614977502,0.9192890143943346,1.1701308097333809e-05,0.009568843020023593,0.0035422841602055564
2,IPC,1924,0.41892511319164843,0.026315783616044624,0.06281739334162516,0.34394283272682397,0.6489565030081773,0.3875722178825,0.3886860760562544,0.39821952996949006,0.41651769457737,0.4300989160421633,0.466512976866745,0.5054155626921506,0.31627502478305447,-2.8473060473317553e-05,0.043185286508233056,0.02228515592206736
2,L1_miss_rate,1924,0.02766664429120223,0.002086328463800972,0.07540952353460545,0.012688000712259052,0.05517899080750822,0.023666107639044007,0.024257430541530907,0.02643242789576392,0.02774279854821371,0.029096950859137515,0.030560481348766096,0.030806333765114848,0.441091417842758,-2.644497208846646e-06,0.05594831233944511,0.04455422950516025
2,L2_miss_rate,1924,0.7036053689989191,0.024642283993840868,0.03502287657199319,0.572401744473849,0.7407045904340953,0.6327062186490021,0.6489418933352197,0.6922717440218542,0.7127372381610836,0.7218697677251489,0.7280968362738857,0.7306244955361323,0.8739201892823518,3.8602831207591737e-05,0.032153816398082714,0.019526320191054637
2,MemBound_frac,1924,0.5991705229834279,0.016940513090718222,0.028273275204472585,0.507055991612009,0.7920053103568754,0.5507181278930124,0.5737877978739926,0.5873027860609664,0.6002914100507302,0.6119549319148511,0.6215539311664275,0.6232539203693623,-0.2870662409906758,5.37035142646565e-06,0.012315762771653936,0.004675925821759168
2,StallL1D_per_cyc,1924,0.7730806090410554,0.012970249070504774,0.016777356615622956,0.5115987829830623,0.8204689789075242,0.7333093097447063,0.7563181493131822,0.7727931454242114,0.7759108293001966,0.7780559242216172,0.7803462457831499,0.7812026564830276,0.7855507757538137,9.709341204034109e-06,0.009012880978153984,0.003347385347120556
2,StallL2_per_cyc,1924,0.7672467835837108,0.013282018182304118,0.017311272548143537,0.5101938298844357,0.8185652945986117,0.7252244102815071,0.7491440426786486,0.7670612691348274,0.7701658653595226,0.7725188728449236,0.7746127389511247,0.775537585190324,0.790702064688477,1.0500680156658865e-05,0.009642937928419418,0.0036235144932542625
3,IPC,1926,0.41817025846141503,0.025554344219069856,0.0611099036863421,0.32794042428143305,0.5308069945615533,0.3871211546314566,0.387812972124217,0.39781235116724145,0.4160499010723061,0.42951561097293267,0.4668573981006982,0.5075313762572359,0.32503929510649815,-2.8062226968927173e-05,0.042774007323492264,0.022434817186998423
3,L1_miss_rate,1926,0.027698024519157483,0.002049578930994417,0.0739972964345098,0.013326909286618876,0.05533537691566892,0.023693290918246845,0.024268779526315412,0.026469174136169456,0.027759209150167663,0.029140810309400043,0.030613152633955764,0.030873701584825858,0.4360633806594846,-2.6504446421087273e-06,0.05655298095329412,0.045015169355369186
3,L2_miss_rate,1926,0.7044435430854595,0.02536423932784677,0.03600606404418375,0.5778864454961082,0.7477716834053655,0.6314556298009584,0.6483410010254094,0.693168607744481,0.7134198184166285,0.7231711864451715,0.729577415641562,0.7331332232806643,0.8780628555501119,3.9693714638520873e-05,0.03302021109087955,0.019802765043005165
3,MemBound_frac,1926,0.5961786322015453,0.016946607706889587,0.028425385935604255,0.5317221134294909,0.7890936548089342,0.5488235959537899,0.5726586413530507,0.5837740720279382,0.5975291388687334,0.6089652546844022,0.618156802677557,0.6208663129013365,-0.298889691540568,4.675632222960678e-06,0.011786080897866591,0.004639974127290252
3,StallL1D_per_cyc,1926,0.7727495880572969,0.012498517221022477,0.016174084611864915,0.485133954684235,0.8168943797408128,0.7341943690155004,0.7559800456484318,0.7721081604538003,0.7753630736750722,0.7775562658978847,0.7800970917060919,0.7809322765550668,0.706585109979103,9.289411433761875e-06,0.00886153405913145,0.003358179206237149
3,StallL2_per_cyc,1926,0.7668887851497339,0.01277308557314462,0.016655720908280977,0.48223801296467517,0.8149932108791214,0.7265475778158065,0.7491158517317262,0.7664083115554907,0.769657420046169,0.7719284001912352,0.7744286185314061,0.7751630094029116,0.7161720140169694,1.00338152274046e-05,0.009471116480204024,0.003618659445663684
